name,id,nametype,recclass,mass,fall,year,reclat,reclong,city,zipcode,state
Cavour,5300,Valid,H6,26210.0,Found,1938.0,44.221494,-98.05919200000001,huron,57324,SD
Cedar (Kansas),5302,Valid,H6,4900.0,Found,1937.0,39.7,-98.98333000000001,hays,67628,KS
Cee Vee,5305,Valid,H5,3600.0,Found,1959.0,34.2,-100.48333000000001,vernon,79259,TX
Chamberlin,5317,Valid,H5,2400.0,Found,1941.0,36.2,-102.45,dumas,79022,TX
Chandler,53491,Valid,L6,350.4,Found,2009.0,33.24558,-111.89633,chandler,85248,AZ
Channing,5324,Valid,H5,15300.0,Found,1936.0,35.71667,-102.28333,dumas,79018,TX
Chicago Valley,44706,Valid,L5,26.0,Found,2004.0,36.00217,-116.19633,pahrump,89048,NV
Chico,5346,Valid,L6,104800.0,Found,1954.0,36.5,-104.2,raton,87747,NM
Chico Hills,5347,Valid,H4,8030.0,Found,1951.0,36.0,-104.5,las vegas,87752,NM
Chocolate Mountains,52013,Valid,Ureilite,699.0,Found,2004.0,33.01222,-114.86667,algodones,92283,CA
Chuckwalla,5361,Valid,"Iron, IAB-MG",1802.0,Found,1992.0,35.25,-118.09066999999999,california city,93501,CA
Circle Back,5367,Valid,L6,2268.0,Found,1977.0,34.028059999999996,-102.68,levelland,79371,TX
Clarendon (a),5369,Valid,H5,1964.0,Found,1979.0,34.905,-100.91333,pampa,79240,TX
Clarendon (b),5370,Valid,H5,26.8,Found,1981.0,34.93611,-100.94167,pampa,79226,TX
Clareton,5371,Valid,L6,1050.0,Found,1931.0,43.7,-104.7,gillette,82701,WY
Clark County,5373,Valid,"Iron, IIIF",11300.0,Found,1937.0,38.0,-84.16667,winchester,40391,KY
Claytonville,5375,Valid,L5,15600.0,Found,1964.0,34.34667,-101.49,plainview,79052,TX
Claytonville (b),5376,Valid,OC,5136.0,Found,1978.0,34.34833,-101.65833,plainview,79052,TX
Cleburne,5377,Valid,"Iron, IVA",6800.0,Found,1907.0,32.31667,-97.41667,cleburne,76033,TX
Cleo Springs,5378,Valid,H4,24000.0,Found,1960.0,36.43333,-98.43333,enid,73729,OK
Clifford,5380,Valid,L6,11360.0,Found,1962.0,39.1,-103.25833,lamar,80804,CO
Clinton,5381,Valid,Iron,7700.0,Found,1950.0,36.08333,-84.2,clinton,37716,TN
Clover Springs,5384,Valid,Mesosiderite-A2,7700.0,Found,1954.0,34.45,-111.36667,payson,85544,AZ
Clovis (no. 1),5385,Valid,H3.6,283000.0,Found,1961.0,34.3,-103.13472,clovis,88130,NM
Clovis (no. 2),5386,Valid,L6,41300.0,Found,1963.0,34.3,-103.13333,clovis,88130,NM
Coffeyville,51051,Valid,H5,35900.0,Found,2006.0,37.01667,-95.66667,coffeyville,74072,OK
Colby (Kansas),5394,Valid,H5,2400.0,Found,1940.0,39.41667,-101.05,garden city,67701,KS
Coldwater (iron),5398,Valid,Iron,18400.0,Found,1923.0,37.26667,-99.33333,woodward,67029,KS
Coldwater (stone),5399,Valid,H5,16000.0,Found,1924.0,37.26667,-99.33333,woodward,67029,KS
Cole Creek,5400,Valid,H5,16300.0,Found,1991.0,41.35,-99.11667,kearney,68853,NE
Colony,5407,Valid,CO3.0,3912.0,Found,1975.0,35.35,-98.68333,weatherford,73021,OK
Colton,5410,Valid,"Iron, IIIAB",19670.0,Found,1993.0,46.57056,-117.09861000000001,lewiston,99179,WA
